pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,
